,Postcode,Borough,Neighbourhood
0,Not assigned ,M1A,Not assigned
1,Not assigned ,M2A,Not assigned
2,Parkwoods ,M3A,North York
3,Victoria Village ,M4A,North York
4,Harbourfront ,M5A,Downtown Toronto
5,Lawrence Heights ,M6A,North York
6,Lawrence Manor ,M6A,North York
7,Queen's Park ,M7A,Downtown Toronto
8,Not assigned ,M8A,Not assigned
9,Not assigned ,M9A,Queen's Park
10,Rouge ,M1B,Scarborough
11,Malvern ,M1B,Scarborough
12,Not assigned ,M2B,Not assigned
13,Don Mills North ,M3B,North York
14,Woodbine Gardens ,M4B,East York
15,Parkview Hill ,M4B,East York
16,Ryerson ,M5B,Downtown Toronto
17,Garden District ,M5B,Downtown Toronto
18,Glencairn ,M6B,North York
19,Not assigned ,M7B,Not assigned
20,Not assigned ,M8B,Not assigned
21,Cloverdale ,M9B,Etobicoke
22,Islington ,M9B,Etobicoke
23,Martin Grove ,M9B,Etobicoke
24,Princess Gardens ,M9B,Etobicoke
25,West Deane Park ,M9B,Etobicoke
26,Highland Creek ,M1C,Scarborough
27,Rouge Hill ,M1C,Scarborough
28,Port Union ,M1C,Scarborough
29,Not assigned ,M2C,Not assigned
30,Flemingdon Park ,M3C,North York
31,Don Mills South ,M3C,North York
32,Woodbine Heights ,M4C,East York
33,St. James Town ,M5C,Downtown Toronto
34,Humewood-Cedarvale ,M6C,York
35,Not assigned ,M7C,Not assigned
36,Not assigned ,M8C,Not assigned
37,Bloordale Gardens ,M9C,Etobicoke
38,Eringate ,M9C,Etobicoke
39,Markland Wood ,M9C,Etobicoke
40,Old Burnhamthorpe ,M9C,Etobicoke
41,Guildwood ,M1E,Scarborough
42,Morningside ,M1E,Scarborough
43,West Hill ,M1E,Scarborough
44,Not assigned ,M2E,Not assigned
45,Not assigned ,M3E,Not assigned
46,The Beaches ,M4E,East Toronto
47,Berczy Park ,M5E,Downtown Toronto
48,Caledonia-Fairbanks ,M6E,York
49,Not assigned ,M7E,Not assigned
50,Not assigned ,M8E,Not assigned
51,Not assigned ,M9E,Not assigned
52,Woburn ,M1G,Scarborough
53,Not assigned ,M2G,Not assigned
54,Not assigned ,M3G,Not assigned
55,Leaside ,M4G,East York
56,Central Bay Street ,M5G,Downtown Toronto
57,Christie ,M6G,Downtown Toronto
58,Not assigned ,M7G,Not assigned
59,Not assigned ,M8G,Not assigned
60,Not assigned ,M9G,Not assigned
61,Cedarbrae ,M1H,Scarborough
62,Hillcrest Village ,M2H,North York
63,Bathurst Manor ,M3H,North York
64,Downsview North ,M3H,North York
65,Wilson Heights ,M3H,North York
66,Thorncliffe Park ,M4H,East York
67,Adelaide ,M5H,Downtown Toronto
68,King ,M5H,Downtown Toronto
69,Richmond ,M5H,Downtown Toronto
70,Dovercourt Village ,M6H,West Toronto
71,Dufferin ,M6H,West Toronto
72,Not assigned ,M7H,Not assigned
73,Not assigned ,M8H,Not assigned
74,Not assigned ,M9H,Not assigned
75,Scarborough Village ,M1J,Scarborough
76,Fairview ,M2J,North York
77,Henry Farm ,M2J,North York
78,Oriole ,M2J,North York
79,Northwood Park ,M3J,North York
80,York University ,M3J,North York
81,East Toronto ,M4J,East York
82,Harbourfront East ,M5J,Downtown Toronto
83,Toronto Islands ,M5J,Downtown Toronto
84,Union Station ,M5J,Downtown Toronto
85,Little Portugal ,M6J,West Toronto
86,Trinity ,M6J,West Toronto
87,Not assigned ,M7J,Not assigned
88,Not assigned ,M8J,Not assigned
89,Not assigned ,M9J,Not assigned
90,East Birchmount Park ,M1K,Scarborough
91,Ionview ,M1K,Scarborough
92,Kennedy Park ,M1K,Scarborough
93,Bayview Village ,M2K,North York
94,CFB Toronto ,M3K,North York
95,Downsview East ,M3K,North York
96,The Danforth West ,M4K,East Toronto
97,Riverdale ,M4K,East Toronto
98,Design Exchange ,M5K,Downtown Toronto
99,Toronto Dominion Centre ,M5K,Downtown Toronto
100,Brockton ,M6K,West Toronto
101,Exhibition Place ,M6K,West Toronto
102,Parkdale Village ,M6K,West Toronto
103,Not assigned ,M7K,Not assigned
104,Not assigned ,M8K,Not assigned
105,Not assigned ,M9K,Not assigned
106,Clairlea ,M1L,Scarborough
107,Golden Mile ,M1L,Scarborough
108,Oakridge ,M1L,Scarborough
109,Silver Hills ,M2L,North York
110,York Mills ,M2L,North York
111,Downsview West ,M3L,North York
112,The Beaches West ,M4L,East Toronto
113,India Bazaar ,M4L,East Toronto
114,Commerce Court ,M5L,Downtown Toronto
115,Victoria Hotel ,M5L,Downtown Toronto
116,Downsview ,M6L,North York
117,North Park ,M6L,North York
118,Upwood Park ,M6L,North York
119,Not assigned ,M7L,Not assigned
120,Not assigned ,M8L,Not assigned
